date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:15	376/376	---M--	200	added ('OK')	text/plain	etag:W/%22178-mGs4mCW8oVtMXOsy8VjSjsD7R2g%22	https://www.poundhoundsresq.org/robots.txt		(from )
22:59:17	678644/678644	---MCZ	200	added ('OK')	text/html	etag:W/%22f96af4bae7bbc81555a74438a52f8e03%22	https://www.poundhoundsresq.org/	C:/Users/Haqq/Desktop/pounds/www.poundhoundsresq.org/index.html	(from )
22:59:18	1989/1989	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Feb%202023%2021:59:17%20GMT	https://static.wixstatic.com/media/30f7f1_fd50b090af384bea8389d48fa48bb044~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/30f7f1_fd50b090af384bea8389d48fa48bb044~mv2.jpg	C:/Users/Haqq/Desktop/pounds/static.wixstatic.com/media/30f7f1_fd50b090af384bea8389d48fa48bb044_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/30f7f1_fd50b090af384bea8389d48fa48bb044_mv2.jpg	(from https://www.poundhoundsresq.org/)
22:59:19	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/Haqq/Desktop/pounds/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.poundhoundsresq.org/)
22:59:22	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/Haqq/Desktop/pounds/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.poundhoundsresq.org/)
22:59:24	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2025%20Jan%202023%2017:58:35%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/Haqq/Desktop/pounds/polyfill.io/v3/polyfill.mind82c.js	(from https://www.poundhoundsresq.org/)
22:59:25	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/Haqq/Desktop/pounds/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.poundhoundsresq.org/)
22:59:25	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Feb%202023%2021:59:24%20GMT	https://www.poundhoundsresq.org/decodeURIComponent(e	C:/Users/Haqq/Desktop/pounds/www.poundhoundsresq.org/decodeURIComponent(e	(from https://www.poundhoundsresq.org/)
22:59:27	372/372	---M--	200	added ('OK')	text/xml	date:Tue,%2007%20Feb%202023%2021:59:26%20GMT	https://www.poundhoundsresq.org/sitemap.xml	C:/Users/Haqq/Desktop/pounds/www.poundhoundsresq.org/sitemap.xml	(from https://www.poundhoundsresq.org/)
22:59:28	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Feb%202023%2021:59:27%20GMT	https://www.poundhoundsresq.org/feed.xml	C:/Users/Haqq/Desktop/pounds/www.poundhoundsresq.org/feed.xml	(from https://www.poundhoundsresq.org/)
22:59:30	137992/137992	---M-Z	200	added ('OK')	application/javascript	etag:W/%22be57bf98669a58c26758c6a3b472c75c%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.64f7fe44.bundle.min.js	C:/Users/Haqq/Desktop/pounds/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.64f7fe44.bundle.min.js	(from https://www.poundhoundsresq.org/)
